MOC_DEMOGRAFIA_ID;MOC_ZONAS_ID;PK_RANGO_ETARIO_ID;PK_GENERO_ID;POBLACION_VIVIENTE;POBLACION_TRABAJADORA;RANGO_ETARIO;GENERO
141;11;5;0;531;480;[50-60);H
142;11;4;1;696;557;[40-50);M
143;11;0;1;654;0;[0-10);M
144;11;1;0;698;128;[10-20);H
145;11;2;1;826;619;[20-30);M
146;11;3;0;786;738;[30-40);H
147;11;6;1;1385;309;[60-INF);M
148;11;5;1;685;472;[50-60);M
149;11;4;0;632;571;[40-50);H
150;11;6;0;815;363;[60-INF);H
151;11;0;0;728;0;[0-10);H
152;11;1;1;694;108;[10-20);M
153;11;3;1;834;643;[30-40);M
154;11;2;0;819;704;[20-30);H
155;12;0;1;617;0;[0-10);M
156;12;5;0;486;440;[50-60);H
157;12;4;1;673;550;[40-50);M
158;12;3;1;861;731;[30-40);M
159;12;6;1;1001;275;[60-INF);M
160;12;1;0;651;127;[10-20);H
161;12;2;0;809;687;[20-30);H
162;12;0;0;682;0;[0-10);H
163;12;4;0;598;557;[40-50);H
164;12;5;1;579;432;[50-60);M
165;12;6;0;664;342;[60-INF);H
166;12;1;1;602;95;[10-20);M
167;12;3;0;809;748;[30-40);H
168;12;2;1;798;609;[20-30);M
169;13;3;0;690;618;[30-40);H
170;13;6;0;849;366;[60-INF);H
171;13;4;0;571;517;[40-50);H
172;13;0;0;684;0;[0-10);H
173;13;1;1;651;90;[10-20);M
174;13;5;1;639;445;[50-60);M
175;13;2;0;773;656;[20-30);H
176;13;4;1;627;470;[40-50);M
177;13;0;1;606;0;[0-10);M
178;13;1;0;665;113;[10-20);H
179;13;3;1;748;552;[30-40);M
180;13;6;1;1260;268;[60-INF);M
181;13;2;1;785;539;[20-30);M
182;13;5;0;537;478;[50-60);H
183;14;3;0;1356;1243;[30-40);H
184;14;1;1;1900;276;[10-20);M
185;14;0;0;2088;0;[0-10);H
186;14;5;1;497;312;[50-60);M
187;14;4;0;867;792;[40-50);H
188;14;6;0;328;172;[60-INF);H
189;14;2;1;1891;1090;[20-30);M
190;14;6;1;443;125;[60-INF);M
191;14;3;1;1427;885;[30-40);M
192;14;0;1;2128;0;[0-10);M
193;14;1;0;1847;407;[10-20);H
194;14;2;0;1934;1671;[20-30);H
195;14;5;0;491;432;[50-60);H
196;14;4;1;928;602;[40-50);M
197;15;3;1;663;513;[30-40);M
198;15;1;0;700;137;[10-20);H
199;15;0;1;622;0;[0-10);M
200;15;2;1;693;488;[20-30);M
201;15;5;0;494;451;[50-60);H
202;15;4;1;608;444;[40-50);M
203;15;6;0;798;392;[60-INF);H
204;15;0;0;615;0;[0-10);H
205;15;3;0;727;684;[30-40);H
206;15;1;1;642;106;[10-20);M
207;15;2;0;722;628;[20-30);H
208;15;5;1;512;359;[50-60);M
209;15;4;0;566;529;[40-50);H
210;15;6;1;1131;300;[60-INF);M
211;16;1;0;2552;458;[10-20);H
212;16;4;1;2488;1823;[40-50);M
213;16;5;0;1898;1698;[50-60);H
214;16;3;1;2713;2018;[30-40);M
215;16;0;1;2306;0;[0-10);M
216;16;6;1;4742;1133;[60-INF);M
217;16;2;0;2604;2204;[20-30);H
218;16;5;1;2330;1538;[50-60);M
219;16;1;1;2522;369;[10-20);M
220;16;3;0;2401;2239;[30-40);H
221;16;6;0;2991;1315;[60-INF);H
222;16;2;1;2705;1945;[20-30);M
223;16;4;0;2202;2067;[40-50);H
224;16;0;0;2408;0;[0-10);H
225;17;2;0;2283;1986;[20-30);H
226;17;1;1;1953;359;[10-20);M
227;17;0;0;2003;0;[0-10);H
228;17;4;0;1568;1470;[40-50);H
229;17;5;1;1445;926;[50-60);M
230;17;6;1;3072;708;[60-INF);M
231;17;3;0;1931;1796;[30-40);H
232;17;4;1;1659;1223;[40-50);M
233;17;2;1;2302;1600;[20-30);M
234;17;1;0;2057;447;[10-20);H
235;17;0;1;1949;0;[0-10);M
236;17;5;0;1279;1135;[50-60);H
237;17;3;1;2012;1475;[30-40);M
238;17;6;0;1883;872;[60-INF);H
239;18;3;0;2530;2308;[30-40);H
240;18;1;1;2658;463;[10-20);M
241;18;5;0;1119;963;[50-60);H
242;18;0;0;3280;0;[0-10);H
243;18;6;0;1357;649;[60-INF);H
244;18;2;1;3206;2029;[20-30);M
245;18;4;1;1673;1151;[40-50);M
246;18;3;1;2465;1722;[30-40);M
247;18;0;1;2984;0;[0-10);M
248;18;1;0;2607;556;[10-20);H
249;18;5;1;1285;806;[50-60);M
250;18;4;0;1540;1421;[40-50);H
251;18;2;0;3156;2745;[20-30);H
252;18;6;1;2143;513;[60-INF);M
253;19;2;0;821;712;[20-30);H
254;19;6;0;1010;526;[60-INF);H
255;19;3;1;793;580;[30-40);M
256;19;5;1;752;504;[50-60);M
257;19;4;0;688;664;[40-50);H
258;19;1;0;746;154;[10-20);H
259;19;4;1;716;498;[40-50);M
260;19;3;0;804;774;[30-40);H
261;19;2;1;809;586;[20-30);M
262;19;0;0;687;0;[0-10);H
263;19;5;0;641;605;[50-60);H
264;19;1;1;685;124;[10-20);M
265;19;0;1;686;0;[0-10);M
266;19;6;1;1429;302;[60-INF);M
267;20;2;0;1204;1025;[20-30);H
268;20;5;1;1184;853;[50-60);M
269;20;4;0;1097;1029;[40-50);H
270;20;3;1;1360;1087;[30-40);M
271;20;1;0;1053;189;[10-20);H
272;20;6;0;1785;863;[60-INF);H
273;20;0;1;1014;0;[0-10);M
274;20;2;1;1289;1010;[20-30);M
275;20;5;0;1012;935;[50-60);H
276;20;0;0;1015;0;[0-10);H
277;20;4;1;1262;953;[40-50);M
278;20;3;0;1332;1260;[30-40);H
279;20;1;1;1021;160;[10-20);M
280;20;6;1;2832;621;[60-INF);M
281;21;6;1;1954;463;[60-INF);M
282;21;3;0;950;911;[30-40);H
283;21;4;1;908;680;[40-50);M
284;21;2;1;911;723;[20-30);M
285;21;0;1;703;0;[0-10);M
286;21;5;0;798;765;[50-60);H
287;21;1;1;710;101;[10-20);M
288;21;6;0;1346;648;[60-INF);H
289;21;2;0;949;823;[20-30);H
290;21;3;1;973;799;[30-40);M
291;21;4;0;787;758;[40-50);H
292;21;0;0;769;0;[0-10);H
293;21;1;0;742;131;[10-20);H
294;21;5;1;919;633;[50-60);M
295;22;2;1;1325;1036;[20-30);M
296;22;6;1;2680;666;[60-INF);M
297;22;3;0;2006;1365;[30-40);H
298;22;0;0;1097;0;[0-10);H
299;22;5;0;1206;1002;[50-60);H
300;22;4;1;1252;949;[40-50);M
301;22;1;0;1084;163;[10-20);H
302;22;6;0;1732;822;[60-INF);H
303;22;2;0;1916;1103;[20-30);H
304;22;3;1;1514;1221;[30-40);M
305;22;0;1;1020;0;[0-10);M
306;22;5;1;1287;911;[50-60);M
307;22;1;1;990;139;[10-20);M
308;22;4;0;1389;1060;[40-50);H
309;23;0;0;987;0;[0-10);H
310;23;6;0;1813;958;[60-INF);H
311;23;3;1;1458;1214;[30-40);M
312;23;2;0;1278;1067;[20-30);H
313;23;1;0;1097;182;[10-20);H
314;23;4;0;1186;1128;[40-50);H
315;23;5;1;1334;985;[50-60);M
316;23;2;1;1285;1012;[20-30);M
317;23;0;1;918;0;[0-10);M
318;23;3;0;1312;1257;[30-40);H
319;23;6;1;2728;679;[60-INF);M
320;23;5;0;1135;1069;[50-60);H
321;23;1;1;1039;143;[10-20);M
322;23;4;1;1317;1019;[40-50);M
323;24;0;1;1279;0;[0-10);M
324;24;5;1;1591;1122;[50-60);M
325;24;4;0;1416;1327;[40-50);H
326;24;6;0;2159;1061;[60-INF);H
327;24;1;1;1265;200;[10-20);M
328;24;2;1;1514;1235;[20-30);M
329;24;3;1;1805;1481;[30-40);M
330;24;4;1;1543;1237;[40-50);M
331;24;0;0;1243;0;[0-10);H
332;24;5;0;1289;1198;[50-60);H
333;24;6;1;3465;915;[60-INF);M
334;24;1;0;1325;208;[10-20);H
335;24;2;0;1521;1312;[20-30);H
336;24;3;0;1642;1560;[30-40);H
337;25;6;1;2674;554;[60-INF);M
338;25;2;1;1386;1014;[20-30);M
339;25;4;1;1285;981;[40-50);M
340;25;0;1;1175;0;[0-10);M
341;25;5;0;1065;990;[50-60);H
342;25;1;1;1179;199;[10-20);M
343;25;3;0;1393;1308;[30-40);H
344;25;5;1;1216;829;[50-60);M
345;25;6;0;1675;776;[60-INF);H
346;25;4;0;1201;1147;[40-50);H
347;25;2;0;1430;1220;[20-30);H
348;25;0;0;1189;0;[0-10);H
349;25;3;1;1468;1151;[30-40);M
350;25;1;0;1262;228;[10-20);H
351;26;6;1;3210;783;[60-INF);M
352;26;4;1;1571;1239;[40-50);M
353;26;3;0;1681;1599;[30-40);H
354;26;2;0;1686;1445;[20-30);H
355;26;0;0;1391;0;[0-10);H
356;26;5;0;1434;1344;[50-60);H
357;26;1;1;1417;220;[10-20);M
358;26;3;1;1751;1429;[30-40);M
359;26;6;0;2006;1025;[60-INF);H
360;26;5;1;1697;1214;[50-60);M
361;26;2;1;1730;1339;[20-30);M
362;26;4;0;1425;1349;[40-50);H
363;26;0;1;1193;0;[0-10);M
364;26;1;0;1391;266;[10-20);H
365;27;1;1;1510;230;[10-20);M
366;27;5;1;2450;1883;[50-60);M
367;27;4;0;2089;1971;[40-50);H
368;27;2;0;2525;2134;[20-30);H
369;27;6;0;3156;1613;[60-INF);H
370;27;3;1;3343;2915;[30-40);M
371;27;0;0;1719;0;[0-10);H
372;27;4;1;2385;2012;[40-50);M
373;27;5;0;1929;1719;[50-60);H
374;27;1;0;1571;220;[10-20);H
375;27;0;1;1719;0;[0-10);M
376;27;6;1;5299;1574;[60-INF);M
377;27;2;1;2796;2224;[20-30);M
378;27;3;0;2904;2750;[30-40);H
379;28;5;1;1857;1413;[50-60);M
380;28;4;0;1657;1576;[40-50);H
381;28;0;0;1399;0;[0-10);H
382;28;1;0;1478;255;[10-20);H
383;28;3;0;2055;1974;[30-40);H
384;28;6;0;2139;1148;[60-INF);H
385;28;2;1;2056;1647;[20-30);M
386;28;5;0;1524;1433;[50-60);H
387;28;4;1;1913;1607;[40-50);M
388;28;0;1;1475;0;[0-10);M
389;28;1;1;1459;229;[10-20);M
390;28;6;1;3609;1022;[60-INF);M
391;28;2;0;2033;1741;[20-30);H
392;28;3;1;2231;1910;[30-40);M
393;29;3;1;2032;1377;[30-40);M
394;29;4;1;1389;954;[40-50);M
395;29;0;1;2705;0;[0-10);M
396;29;6;1;1212;342;[60-INF);M
397;29;1;0;2538;604;[10-20);H
398;29;5;0;777;687;[50-60);H
399;29;2;1;2770;1731;[20-30);M
400;29;0;0;2780;0;[0-10);H
401;29;4;0;1250;1131;[40-50);H
402;29;6;0;879;449;[60-INF);H
403;29;3;0;2012;1863;[30-40);H
404;29;1;1;2453;452;[10-20);M
405;29;5;1;933;607;[50-60);M
406;29;2;0;2700;2325;[20-30);H
407;30;6;1;5497;1648;[60-INF);M
408;30;0;1;1316;0;[0-10);M
409;30;3;1;2306;2021;[30-40);M
410;30;4;1;2052;1773;[40-50);M
411;30;2;0;2007;1624;[20-30);H
412;30;5;0;1767;1673;[50-60);H
413;30;1;1;1358;172;[10-20);M
414;30;6;0;3158;1798;[60-INF);H
415;30;0;0;1276;0;[0-10);H
416;30;3;0;2038;1953;[30-40);H
417;30;1;0;1331;169;[10-20);H
